@relation train_model

@attribute numHashtags numeric
@attribute numUpperCases numeric
@attribute numUrls numeric
@attribute sentimentScore numeric
@attribute cntFollowers numeric
@attribute cntFriends numeric
@attribute followers2friends numeric
@attribute diffInDays numeric
@attribute cntLists numeric
@attribute cntPosts numeric
@attribute cntAdjective numeric
@attribute cntAdverbs numeric
@attribute cntVerbs numeric
@attribute meanWordsPerSentence numeric
@attribute meanWordLength numeric
@attribute class {normal,spam,aggressive,bully}

@data
2.9,1.5,0.8,0.2,660,609,1.083744,994,105,129034,6,1,27,13.8,8.404,aggressive
1,1.3,0.5,0.2,1043,359,2.905292,397,3,10333,1,1,5,12.6,6.542,normal
1,0.2,2,0.2,807,807,1,2025,221,136226,6,0,5,10,8.917,normal
2,0.2,0,0.2,3,40,75,518,1,10844,1,2,7,9,7.222,normal
1,3,0.1,0.2,167,109,1.53211,1366,1,14571,1,1,5,11.3,6.589,spam
1.2,6.2,0.2,0.2,6,8,0.75,428,0,186,3,1,9,12.2,4.901,spam
1,1.4,0,0.2,4,101,0.039604,1025,0,20743,0,0,1,3.4,15.683,spam
1,2,0,0.2,4,101,0.039604,1025,0,20743,1,0,0,3.2,14.2,normal
1,1.6,0.4,0.2,17,10,1.7,334,0,1048,0,0,6,8.8,6.292,normal
1,5.2,0.4,0.2,968,1333,0.726182,817,5,34900,0,0,2,12.2,7.257,normal
2.2,2,1,0.2,453,725,0.624828,986,66,83067,11,2,6,18.4,6.561,normal
4.8,1,0,0.2,2,89,0.022472,497,0,7301,1,1,2,13.4,7.55,spam
2.8,1.4,1,0.2,4996,298,16.765101,2248,57,110001,1,0,1,9.4,7.583,spam
3,1.8,1,0.2,4996,298,16.765101,2248,57,110001,1,0,0,10.2,7.006,spam
1,1.8,1.2,0.2,281,280,1.003571,192,33,3488,3,3,10,13.4,7.533,normal
1,1.8,0,0.2,77,128,0.601563,383,3,9140,0,5,5,8.8,9.097,normal
1,0.8,0.8,0.2,13,23,0.565217,377,1,1265,3,2,18,10.3,7.896,normal
0.9,1.1,0.4,0.2,13,23,0.565217,377,1,1265,5,1,10,13.6,6.895,normal
3,1.8,2,0.2,27,41,0.658537,152,8,5098,7,2,11,15.2,7.486,spam
1.2,1,0.8,0.2,59,23,2.565217,420,0,876,9,4,4,12.6,8.164,normal
2,7.4,1,0.2,511,62,8.241935,2748,77,376713,3,0,9,20.2,5.885,spam
1,1.6,1,0.2,253,2,126.5,830,29,164266,4,1,4,14.4,6.057,normal
1,2,0.6,0.2,253,2,126.5,830,29,164266,2,1,11,13.6,5.134,normal
1,1.8,0.6,0.2,253,2,126.5,830,29,164266,3,5,8,12.8,5.331,normal
3.2,3.9,1,0.2,513,0,513,471,264,99093,13,11,3,9.4,6.198,normal
1,2.9,0,0.2,575,347,1.657061,1008,4,86714,1,1,10,16.6,6.428,normal
1.4,0.3,0.3,0.2,83,29,2.862069,426,40,33809,0,1,8,12.2,8.085,normal
1.2,0.9,0.3,0.2,83,29,2.862069,426,40,33809,2,3,18,15.2,8.249,normal
1,2.4,1.2,0.2,1585,906,1.749448,934,7,33052,2,0,5,5.7,10.917,spam
1,0.4,2,0.2,46,0,46,565,11,18305,4,2,4,7.4,10.433,spam
0.8,0.8,0.1,0.2,18,7,2.571429,364,8,15536,4,3,10,14.2,7.623,normal
3,0,2,0.2,82,73,1.123288,213,36,4035,2,1,8,12.8,8.025,spam
3,0.4,2,0.2,67,72,0.930556,212,44,4031,3,6,13,10.5,7.402,spam
1,1.1,0,0.2,1,1,1,377,0,2847,3,0,1,7.6,6.563,normal
2.6,2.8,3,0.2,25,87,0.287356,375,7,2660,8,0,0,12.6,9.89,spam
